,word,frequency
1493,부대찌개,47
1494,한지,47
1495,그랬어요,47
1496,케찹,47
1497,쌈밥,47
1498,갈비찜,47
1499,오는데,46
1500,참여,46
1501,있,46
1502,나머지,46
1503,먹고싶었는데,46
1504,이구,46
1505,온거,46
1506,마다,46
1507,되면,46
1508,나와서,46
1509,중이,46
1510,척,46
1511,깔끔합니다,46
1512,궁금해서,46
1513,금요일,46
1514,감칠맛,46
1515,무척,46
1516,식어도,46
1517,짜요,46
1518,알차고,46
1519,재구매,46
1520,공기,46
1521,먹고싶은,46
1522,딱이에요,46
1523,걸린다고,46
1524,아쉬웠네요,46
1525,시켰네요,45
1526,들어있고,45
1527,오셔서,45
1528,놀랬어요,45
1529,어플,45
1530,많았고,45
1531,맞춰서,45
1532,다양하게,45
1533,들어간,45
1534,찍은,45
1535,시켰을,45
1536,맛있고요,45
1537,맛있었구요,45
1538,나게잘,45
1539,유지,45
1540,됐어요,45
1541,국,45
1542,직화,45
1543,남,45
1544,사업,45
1545,놀랐네요,45
1546,회사,45
1547,피클,45
1548,라지,45
1549,베이컨,45
1550,막창,45
1551,치즈버거,45
1552,삼선,44
1553,짜서,44
1554,아닌데,44
1555,여러,44
1556,이면,44
1557,쥬,44
1558,맜,44
1559,깨끗한,44
1560,생겨서,44
1561,뻑뻑,44
1562,영업,44
1563,성공,44
1564,채,44
1565,안전하게,44
1566,베리,44
1567,올게요,44
1568,역대,44
1569,여러가지,44
1570,쫀득쫀득,44
1571,답,44
1572,마라,44
1573,신속,44
1574,몬스터,44
1575,요새,43
1576,체크,43
1577,묵었습니다,43
1578,안해,43
1579,받았는데,43
1580,아예,43
1581,방금,43
1582,얼큰하고,43
1583,튼,43
1584,갑,43
1585,조화,43
1586,지인,43
1587,올려요,43
1588,축구,43
1589,소자,43
1590,조절,43
1591,매력,43
1592,데워,43
1593,돼지고기,43
1594,땡기는,43
1595,링,43
1596,장군,43
1597,이점,43
1598,양상추,43
1599,꼼꼼하게,42
1600,주변,42
1601,맞게,42
1602,까먹고,42
1603,공기밥,42
1604,시켰더니,42
1605,쇼,42
1606,깐,42
1607,들어가서,42
1608,만족하고,42
1609,짜네요,42
1610,루,42
1611,기고,42
1612,쪼금,42
1613,시키다가,42
1614,딱입니다,42
1615,치,42
1616,가까운,42
1617,맜있어,42
1618,방문,42
1619,일부러,42
1620,적당해요,42
1621,맞네요,42
1622,겉절이,42
1623,식당,42
1624,한결같이,42
1625,다른거,42
1626,아님,42
1627,사시미,42
1628,한잔,42
1629,않습니다,42
1630,금구,42
1631,종로,42
1632,타코야끼,42
1633,없었는데,41
1634,구매,41
1635,되었습니다,41
1636,급히,41
1637,야들야들하고,41
